"","UsageClass","CheckoutType","MaterialType","CheckoutYear","CheckoutMonth","Checkouts","Title","ISBN","Creator","Subjects","Publisher","PublicationYear"
"2106","Digital","OverDrive","EBOOK",2020,9,11,"Serpent's Shadow: The Kane Chronicles Graphic Novel Series, Book 3","","Rick Riordan","Comic and Graphic Books, Fantasy, Juvenile Fiction, Juvenile Literature","Disney Digital Books","2017"
"2107","Digital","OverDrive","EBOOK",2020,9,35,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"2108","Digital","OverDrive","AUDIOBOOK",2020,9,24,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Mythology, Young Adult Fiction, Young Adult Literature","Books on Tape","2015"
"2109","Digital","OverDrive","AUDIOBOOK",2020,9,15,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2008"
"2110","Digital","OverDrive","AUDIOBOOK",2020,9,13,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2009"
"2111","Digital","OverDrive","EBOOK",2020,9,20,"The Tyrant's Tomb: The Trials of Apollo Series, Book 4","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2019"
"2112","Digital","OverDrive","EBOOK",2020,9,17,"The Lost Hero: The Heroes of Olympus Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"2113","Digital","OverDrive","EBOOK",2020,9,16,"The Hidden Oracle: Trials of Apollo Series, Book 1","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2016"
"2114","Digital","OverDrive","EBOOK",2020,9,17,"The House of Hades: The Heroes of Olympus Series, Book 4","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2015"
"2115","Digital","OverDrive","EBOOK",2020,9,13,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2","","Rick Riordan","Mythology, Young Adult Fiction","Disney Digital Books","2017"
"2116","Digital","OverDrive","EBOOK",2020,9,11,"The Lost Hero: The Graphic Novel: The Heroes of Olympus Graphic Novel Series, Book 1","","Rick Riordan","Comic and Graphic Books, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2016"
"2117","Digital","OverDrive","AUDIOBOOK",2020,9,12,"The Son of Neptune: The Heroes of Olympus Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2011"
"2118","Digital","OverDrive","EBOOK",2020,9,10,"The Serpent's Shadow: The Kane Chronicles, Book 3","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2014"
"2119","Digital","OverDrive","EBOOK",2020,9,20,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5","","Rick Riordan","Juvenile Fiction, Mythology","Disney Digital Books","2011"
"2120","Digital","OverDrive","EBOOK",2020,9,10,"The Son of Sobek: Percy Jackson & The Kane Chronicles Crossover Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology, Short Stories","Disney Digital Books","2015"
"2121","Digital","OverDrive","EBOOK",2020,9,17,"The Mark of Athena: The Heroes of Olympus Series, Book 3","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2015"
"2122","Digital","OverDrive","EBOOK",2020,9,16,"The Burning Maze: Trials of Apollo Series, Book 3","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2018"
"2123","Digital","OverDrive","EBOOK",2020,9,14,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1","","Rick Riordan","Mythology, Young Adult Fiction, Young Adult Literature","Disney Digital Books","2016"
"2124","Digital","OverDrive","AUDIOBOOK",2020,9,20,"The Titan's Curse: Percy Jackson and the Olympians Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2007"
"2125","Digital","OverDrive","AUDIOBOOK",2020,9,15,"The House of Hades: The Heroes of Olympus Series, Book 4 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2013"
"2126","Digital","OverDrive","AUDIOBOOK",2020,9,16,"The Tyrant's Tomb: The Trials of Apollo Series, Book 4 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2019"
"2127","Digital","OverDrive","EBOOK",2020,9,11,"The Son of Neptune: The Graphic Novel: The Heroes of Olympus Graphic Novel Series, Book 2","","Rick Riordan","Comic and Graphic Books, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2017"
"2128","Digital","OverDrive","EBOOK",2020,9,16,"The Dark Prophecy: Trials of Apollo Series, Book 2","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2017"
"2129","Digital","OverDrive","AUDIOBOOK",2020,9,21,"The Blood of Olympus: The Heroes of Olympus Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2014"
"2130","Digital","OverDrive","EBOOK",2020,9,10,"The Demigod Files: Percy Jackson and the Olympians Series, Book 4.5","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology, Short Stories","Disney Digital Books","2011"
"2131","Digital","OverDrive","EBOOK",2020,9,12,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2019"
"2132","Digital","OverDrive","AUDIOBOOK",2020,9,20,"The Burning Maze: The Trials of Apollo Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2018"
"2133","Digital","OverDrive","AUDIOBOOK",2020,9,13,"The Ship of the Dead: Magnus Chase and the Gods of Asgard Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2017"
"2134","Digital","OverDrive","EBOOK",2020,9,13,"The Blood of Olympus: The Heroes of Olympus Series, Book 5","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Disney Digital Books","2015"
"2135","Digital","OverDrive","EBOOK",2020,9,12,"The Trials of Apollo: Camp Jupiter Classified: A Probatio's Journal","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2020"
"2136","Digital","OverDrive","EBOOK",2020,9,21,"The Son of Neptune: The Heroes of Olympus Series, Book 2","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2015"
"2137","Digital","OverDrive","EBOOK",2020,9,17,"The Ship of the Dead: Magnus Chase and the Gods of Asgard Series, Book 3","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2017"
"2138","Digital","OverDrive","AUDIOBOOK",2020,9,18,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2016"
"2139","Digital","OverDrive","AUDIOBOOK",2020,9,21,"The Hidden Oracle: The Trials of Apollo Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2016"
"2140","Digital","OverDrive","EBOOK",2020,9,23,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Disney Digital Books","2011"
"2141","Digital","OverDrive","EBOOK",2020,9,20,"The Titan's Curse: Percy Jackson and the Olympians Series, Book 3","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2011"
"2142","Digital","OverDrive","EBOOK",2020,9,17,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2011"
"2143","Digital","OverDrive","AUDIOBOOK",2020,9,10,"The Mark of Athena: The Heroes of Olympus Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2013"
"2144","Digital","OverDrive","EBOOK",2020,9,19,"Percy Jackson's Greek Gods","","Rick Riordan","Juvenile Fiction, Mythology","Disney Digital Books","2016"
"2145","Digital","OverDrive","EBOOK",2020,9,11,"The Sea of Monsters: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 2","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2016"
"2146","Digital","OverDrive","AUDIOBOOK",2020,9,35,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2006"
"2147","Digital","OverDrive","EBOOK",2020,9,10,"The Crown of Ptolemy: Percy Jackson & The Kane Chronicles Crossover Series, Book 3","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology, Short Stories","Disney Digital Books","2016"
"2148","Physical","Horizon","BOOK",2020,10,14,"The Titan's curse / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Artemis Greek deity Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Titans Mythology Juvenile fiction, Mythological fiction","Miramax Books / Hyperion Books for Children,","2007"
"2149","Digital","OverDrive","AUDIOBOOK",2020,10,13,"The Trials of Apollo Camp Jupiter Classified (An Official Rick Riordan Companion Book): A Probatio's Journal (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2020"
"2150","Digital","OverDrive","AUDIOBOOK",2020,10,15,"The Hidden Oracle: The Trials of Apollo Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2016"
"2151","Digital","OverDrive","EBOOK",2020,10,12,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2019"
"2152","Digital","OverDrive","AUDIOBOOK",2020,10,15,"The Lost Hero: The Heroes of Olympus Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2010"
"2153","Physical","Horizon","BOOK",2020,10,15,"The dark prophecy / Rick Riordan.","","Riordan, Rick","Apollo Deity Juvenile fiction, Gods Greek Juvenile fiction, Mythology Greek Juvenile fiction, Fantasy fiction, Fantasy fiction, Mythological fiction","Disney-Hyperion,","2017"
"2154","Digital","OverDrive","EBOOK",2020,10,15,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1","","Rick Riordan","Mythology, Young Adult Fiction, Young Adult Literature","Disney Digital Books","2016"
"2155","Digital","OverDrive","AUDIOBOOK",2020,10,17,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2008"
"2156","Digital","OverDrive","AUDIOBOOK",2020,10,17,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2009"
"2157","Digital","OverDrive","EBOOK",2020,10,10,"The Demigod Files: Percy Jackson and the Olympians Series, Book 4.5","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology, Short Stories","Disney Digital Books","2011"
"2158","Digital","OverDrive","AUDIOBOOK",2020,10,17,"The Ship of the Dead: Magnus Chase and the Gods of Asgard Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2017"
"2159","Digital","OverDrive","EBOOK",2020,10,12,"The Serpent's Shadow: The Kane Chronicles, Book 3","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2014"
"2160","Physical","Horizon","BOOK",2020,10,10,"The burning maze / Rick Riordan.","","Riordan, Rick","Apollo Deity Juvenile fiction, Gods Greek Juvenile fiction, Mythology Greek Juvenile fiction, Oracles Juvenile fiction","Disney-Hyperion,","2018"
"2161","Physical","Horizon","BOOK",2020,10,21,"Percy Jackson & the Olympians. Book one, The lightning thief : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by José Villarrubia ; layouts by Orpheus Collar ; lettering by Chris Dickey.","","Riordan, Rick","Hades Greek deity Comic books strips etc, Mythology Greek Comic books strips etc, Camps Comic books strips etc, Friendship Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Zeus Greek deity Comic books strips etc, Cartoons and comics, Graphic novels, Fantasy comics","Disney/Hyperion Books,","2010"
"2162","Physical","Horizon","BOOK",2020,10,10,"The lightning thief / Rick Riordan ; illustrated by John Rocco.","","Riordan, Rick","Jackson Percy Fictitious character Juvenile fiction, Zeus Greek deity Juvenile fiction, Poseidon Greek deity Juvenile fiction, Mythology Greek Juvenile fiction, Camps Juvenile fiction, Fathers and sons Juvenile fiction, Fantasy fiction","Disney/Hyperion,","2018"
"2163","Digital","OverDrive","EBOOK",2020,10,26,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5","","Rick Riordan","Juvenile Fiction, Mythology","Disney Digital Books","2011"
"2164","Physical","Horizon","BOOK",2020,10,16,"The battle of the Labyrinth / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Labyrinths Juvenile fiction, Camps Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Titans Mythology Juvenile fiction, Mythological fiction","Hyperion Books for Children,","2008"
"2165","Digital","OverDrive","EBOOK",2020,10,14,"The Dark Prophecy: Trials of Apollo Series, Book 2","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2017"
"2166","Digital","OverDrive","EBOOK",2020,10,21,"The Titan's Curse: Percy Jackson and the Olympians Series, Book 3","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2011"
"2167","Digital","OverDrive","EBOOK",2020,10,18,"The Mark of Athena: The Heroes of Olympus Series, Book 3","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2015"
"2168","Digital","OverDrive","EBOOK",2020,10,16,"The Blood of Olympus: The Heroes of Olympus Series, Book 5","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Disney Digital Books","2015"
"2169","Physical","Horizon","BOOK",2020,10,11,"The tyrant's tomb / Rick Riordan.","","Riordan, Rick","Apollo Deity Juvenile fiction, Gods Greek Juvenile fiction, Mythology Greek Juvenile fiction, Heroes Juvenile fiction, Fantasy fiction","Disney-Hyperion,","2019"
"2170","Digital","OverDrive","EBOOK",2020,10,11,"The Son of Neptune: The Graphic Novel: The Heroes of Olympus Graphic Novel Series, Book 2","","Rick Riordan","Comic and Graphic Books, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2017"
"2171","Physical","Horizon","BOOK",2020,10,10,"The serpent's shadow / Rick Riordan.","","Riordan, Rick","Snakes Juvenile fiction, Brothers and sisters Juvenile fiction, Magic Juvenile fiction, Mythology Egyptian Juvenile fiction, Adventure stories, Voyages and travels Juvenile fiction, Mythological fiction","Disney/Hyperion,","2012"
"2172","Digital","OverDrive","EBOOK",2020,10,28,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"2173","Digital","OverDrive","AUDIOBOOK",2020,10,17,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Mythology, Young Adult Fiction, Young Adult Literature","Books on Tape","2015"
"2174","Digital","OverDrive","EBOOK",2020,10,11,"Camp Half-Blood Confidential: Your Real Guide to the Demigod Training Camp","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Short Stories","Disney Digital Books","2017"
"2175","Digital","OverDrive","AUDIOBOOK",2020,10,15,"The Burning Maze: The Trials of Apollo Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2018"
"2176","Digital","OverDrive","AUDIOBOOK",2020,10,10,"The House of Hades: The Heroes of Olympus Series, Book 4 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2013"
"2177","Digital","OverDrive","EBOOK",2020,10,17,"The Ship of the Dead: Magnus Chase and the Gods of Asgard Series, Book 3","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2017"
"2178","Digital","OverDrive","EBOOK",2020,10,19,"The House of Hades: The Heroes of Olympus Series, Book 4","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2015"
"2179","Digital","OverDrive","AUDIOBOOK",2020,10,18,"The Titan's Curse: Percy Jackson and the Olympians Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2007"
"2180","Digital","OverDrive","EBOOK",2020,10,19,"The Son of Neptune: The Heroes of Olympus Series, Book 2","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2015"
"2181","Digital","OverDrive","EBOOK",2020,10,20,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2","","Rick Riordan","Mythology, Young Adult Fiction","Disney Digital Books","2017"
"2182","Digital","OverDrive","EBOOK",2020,10,11,"The Throne of Fire: The Graphic Novel: The Kane Chronicles Graphic Novel Series, Book 2","","Rick Riordan","Comic and Graphic Books, Juvenile Fiction, Mythology","Disney Digital Books","2016"
"2183","Physical","Horizon","BOOK",2020,10,15,"The sea of monsters / Rick Riordan.","","Riordan, Rick","Hades Greek deity Juvenile fiction, Mythology Greek Juvenile fiction, Camps Juvenile fiction, Friendship Juvenile fiction, Fathers and sons Juvenile fiction, Poseidon Greek deity Juvenile fiction, Zeus Greek deity Juvenile fiction, Fantasy fiction, Mythological fiction","Miramax Books/Hyperion Books for Children,","2006"
"2184","Digital","OverDrive","AUDIOBOOK",2020,10,42,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2006"
"2185","Digital","OverDrive","EBOOK",2020,10,14,"The Lost Hero: The Heroes of Olympus Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"2186","Digital","OverDrive","AUDIOBOOK",2020,10,18,"The Tower of Nero: The Trials of Apollo Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2020"
"2187","Physical","Horizon","BOOK",2020,10,10,"Camp Jupiter classified : a probatio's journal / Rick Riordan.","","Riordan, Rick","Mythology Roman Juvenile fiction, Camps Juvenile fiction, Diaries Juvenile fiction, Mythology Roman Fiction, Camps Fiction, Diaries Fiction, Fantasy fiction, Fantasy fiction, Diary fiction","Disney-Hyperion,","2020"
"2188","Digital","OverDrive","EBOOK",2020,10,12,"The Burning Maze: Trials of Apollo Series, Book 3","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2018"
"2189","Digital","OverDrive","EBOOK",2020,10,11,"The Tower of Nero: The Trials of Apollo Series, Book 5","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2020"
"2190","Digital","OverDrive","EBOOK",2020,10,23,"The Tyrant's Tomb: The Trials of Apollo Series, Book 4","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2019"
"2191","Digital","OverDrive","EBOOK",2020,10,15,"The Red Pyramid: The Kane Chronicles, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"2192","Physical","Horizon","BOOK",2020,10,15,"The lightning thief / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Fantasy, Mythological fiction","Hyperion Books for Children,","2005"
"2193","Digital","OverDrive","AUDIOBOOK",2020,10,23,"The Blood of Olympus: The Heroes of Olympus Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2014"
"2194","Digital","OverDrive","EBOOK",2020,10,11,"The Demigod Diaries","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology, Short Stories","Disney Digital Books","2014"
"2195","Digital","OverDrive","AUDIOBOOK",2020,10,16,"The Tyrant's Tomb: The Trials of Apollo Series, Book 4 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2019"
"2196","Digital","OverDrive","AUDIOBOOK",2020,10,24,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2007"
"2197","Physical","Horizon","BOOK",2020,10,11,"The last Olympian / Rick Riordan.","","Riordan, Rick","Titans Mythology Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Mythology Greek Juvenile fiction, Mythological fiction","Disney/Hyperion Books,","2009"
"2198","Digital","OverDrive","AUDIOBOOK",2020,10,17,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2016"
"2199","Digital","OverDrive","EBOOK",2020,10,31,"Percy Jackson's Greek Gods","","Rick Riordan","Juvenile Fiction, Mythology","Disney Digital Books","2016"
"2200","Digital","OverDrive","EBOOK",2020,10,14,"The Sea of Monsters: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 2","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2016"
"2201","Digital","OverDrive","EBOOK",2020,10,13,"The Lightning Thief: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 1","","Rick Riordan","Comic and Graphic Books, Juvenile Fiction","Disney Digital Books","2016"
"2202","Digital","OverDrive","EBOOK",2020,10,21,"The Hidden Oracle: Trials of Apollo Series, Book 1","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2016"
"2203","Digital","OverDrive","EBOOK",2020,10,12,"Serpent's Shadow: The Kane Chronicles Graphic Novel Series, Book 3","","Rick Riordan","Comic and Graphic Books, Fantasy, Juvenile Fiction, Juvenile Literature","Disney Digital Books","2017"
"2204","Digital","OverDrive","EBOOK",2020,10,12,"Percy Jackson's Greek Heroes","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Disney Digital Books","2016"
"2205","Digital","OverDrive","EBOOK",2020,10,13,"Battle of the Labyrinth: Percy Jackson and the Olympians Graphic Novel Series, Book 4","","Rick Riordan","Comic and Graphic Books, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2018"
"2206","Digital","OverDrive","AUDIOBOOK",2020,10,21,"The Dark Prophecy: The Trials of Apollo Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2017"
"2207","Digital","OverDrive","EBOOK",2020,10,18,"The Lost Hero: The Graphic Novel: The Heroes of Olympus Graphic Novel Series, Book 1","","Rick Riordan","Comic and Graphic Books, Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2016"
"2208","Digital","OverDrive","EBOOK",2020,10,22,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2011"
"2209","Digital","OverDrive","EBOOK",2020,10,13,"The Son of Sobek: Percy Jackson & The Kane Chronicles Crossover Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology, Short Stories","Disney Digital Books","2015"
"2210","Digital","OverDrive","EBOOK",2020,10,23,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Disney Digital Books","2011"
"2211","Digital","OverDrive","EBOOK",2020,11,16,"Percy Jackson's Greek Heroes","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Disney Digital Books","2016"
"2212","Physical","Horizon","BOOK",2020,11,10,"The burning maze / Rick Riordan.","","Riordan, Rick","Apollo Deity Juvenile fiction, Gods Greek Juvenile fiction, Mythology Greek Juvenile fiction, Oracles Juvenile fiction","Disney-Hyperion,","2018"
"2213","Digital","OverDrive","EBOOK",2020,11,18,"The Son of Neptune: The Heroes of Olympus Series, Book 2","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2015"
"2214","Digital","OverDrive","EBOOK",2020,11,17,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5","","Rick Riordan","Juvenile Fiction, Mythology","Disney Digital Books","2011"
"2215","Physical","Horizon","BOOK",2020,11,11,"The battle of the Labyrinth / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Labyrinths Juvenile fiction, Camps Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Titans Mythology Juvenile fiction, Mythological fiction","Hyperion Books for Children,","2008"
"2216","Physical","Horizon","BOOK",2020,11,10,"The blood of Olympus / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Gaia Greek deity Juvenile fiction, Fantasy fiction, Mythological fiction","Disney-Hyperion,","2014"
"2217","Digital","OverDrive","AUDIOBOOK",2020,11,14,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2009"
"2218","Digital","OverDrive","EBOOK",2020,11,15,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2","","Rick Riordan","Mythology, Young Adult Fiction","Disney Digital Books","2017"
"2219","Physical","Horizon","BOOK",2020,11,13,"The last Olympian / Rick Riordan.","","Riordan, Rick","Titans Mythology Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Mythology Greek Juvenile fiction, Mythological fiction","Disney/Hyperion Books,","2009"
"2220","Digital","OverDrive","EBOOK",2020,11,19,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1","","Rick Riordan","Mythology, Young Adult Fiction, Young Adult Literature","Disney Digital Books","2016"
"2221","Digital","OverDrive","EBOOK",2020,11,10,"The Crown of Ptolemy: Percy Jackson & The Kane Chronicles Crossover Series, Book 3","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology, Short Stories","Disney Digital Books","2016"
"2222","Digital","OverDrive","EBOOK",2020,11,15,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2011"
"2223","Digital","OverDrive","EBOOK",2020,11,12,"Camp Half-Blood Confidential: Your Real Guide to the Demigod Training Camp","","Rick Riordan","Fantasy, Juvenile Fiction, Juvenile Literature, Short Stories","Disney Digital Books","2017"
